,concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date
0,2128000322,4184966,Maps to value,19930101,20991231
1,2128000322,4184984,Maps to value,19930101,20991231
2,2128000322,4185154,Maps to value,19930101,20991231
3,2128000322,4186705,Maps to value,19930101,20991231
4,2128000322,4185920,Maps to value,19930101,20991231
5,2128000322,4211218,Maps to value,19930101,20991231
6,2128000322,4212311,Maps to value,19930101,20991231
7,2128000322,4211353,Maps to value,19930101,20991231
8,2128000330,4276871,Maps to value,19930101,20991231
9,2128000330,4160363,Maps to value,19930101,20991231
10,2128000330,40488452,Maps to value,19930101,20991231
11,2128000330,4225446,Maps to value,19930101,20991231
12,2128000330,4189853,Maps to value,19930101,20991231
13,2128000330,4146382,Maps to value,19930101,20991231
14,2128000330,4269725,Maps to value,19930101,20991231
15,2128000330,4310742,Maps to value,19930101,20991231
16,2128000330,40486658,Maps to value,19930101,20991231
17,2128000330,4149492,Maps to value,19930101,20991231
18,2128000330,4301903,Maps to value,19930101,20991231
19,2128000330,4304617,Maps to value,19930101,20991231
20,2128000330,4301952,Maps to value,19930101,20991231
21,2128000330,4025710,Maps to value,19930101,20991231
22,2128000330,4308038,Maps to value,19930101,20991231
23,2128000330,4229088,Maps to value,19930101,20991231
24,2128000330,4052896,Maps to value,19930101,20991231
25,2128000330,4189891,Maps to value,19930101,20991231
26,2128000330,4309731,Maps to value,19930101,20991231
27,2128000330,40491509,Maps to value,19930101,20991231
28,2128000330,4155792,Maps to value,19930101,20991231
29,2128000330,40492857,Maps to value,19930101,20991231
30,2128000330,4051827,Maps to value,19930101,20991231
31,2128000330,40493369,Maps to value,19930101,20991231
32,2128000330,4053448,Maps to value,19930101,20991231
33,2128000334,4039815,Maps to value,19930101,20991231
34,2128000334,4043797,Maps to value,19930101,20991231
35,2128000334,4041562,Maps to value,19930101,20991231
36,2128000334,4045194,Maps to value,19930101,20991231
37,2128000334,4045381,Maps to value,19930101,20991231
38,2128000334,4164915,Maps to value,19930101,20991231
39,2128000334,4038439,Maps to value,19930101,20991231
40,2128000334,4040694,Maps to value,19930101,20991231
41,2128000334,4039844,Maps to value,19930101,20991231
42,2128000334,4042984,Maps to value,19930101,20991231
43,2128000334,4043119,Maps to value,19930101,20991231
44,2128000334,4045677,Maps to value,19930101,20991231
45,2128000334,4229896,Maps to value,19930101,20991231
46,2128000334,4046185,Maps to value,19930101,20991231
47,2128000334,4045524,Maps to value,19930101,20991231
48,2128000334,4038615,Maps to value,19930101,20991231
49,2128000334,4165061,Maps to value,19930101,20991231
50,2128000334,4039661,Maps to value,19930101,20991231
51,2128000334,4041218,Maps to value,19930101,20991231
52,2128000334,4045372,Maps to value,19930101,20991231
53,2128000334,4169404,Maps to value,19930101,20991231
54,2128000334,4165904,Maps to value,19930101,20991231
55,2128000334,4046392,Maps to value,19930101,20991231
56,2128000334,4038448,Maps to value,19930101,20991231
57,2128000334,4043496,Maps to value,19930101,20991231
58,2128000334,4042967,Maps to value,19930101,20991231
59,2128000334,4185388,Maps to value,19930101,20991231
60,2128000334,4229080,Maps to value,19930101,20991231
61,2128000334,4046525,Maps to value,19930101,20991231
62,2128000334,4107894,Maps to value,19930101,20991231
63,2128000334,4044840,Maps to value,19930101,20991231
64,2128000334,4040005,Maps to value,19930101,20991231
65,2128000334,4041054,Maps to value,19930101,20991231
66,2128000334,4044145,Maps to value,19930101,20991231
67,2128000334,4046522,Maps to value,19930101,20991231
68,2128000334,4218163,Maps to value,19930101,20991231
69,2128000334,4297614,Maps to value,19930101,20991231
70,2128000334,4041770,Maps to value,19930101,20991231
71,2128000334,4041044,Maps to value,19930101,20991231
72,2128000334,4039850,Maps to value,19930101,20991231
73,2128000334,4042986,Maps to value,19930101,20991231
74,2128000334,4042947,Maps to value,19930101,20991231
75,2128000334,4041022,Maps to value,19930101,20991231
76,2128000334,4045937,Maps to value,19930101,20991231
77,2128000334,4044683,Maps to value,19930101,20991231
78,2128000334,4039165,Maps to value,19930101,20991231
